,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa), lat, lon, ,AQI
0,20.57,30.28,3.78,5.5,0.55,75.61,-4.22,-1.93,292.78,71.74,100435.32,18.34,109.25, ,30.28
1,22.36,34.02,3.99,7.04,0.65,75.84,-5.08,-2.97,292.8,72.62,100631.46,18.34,109.38, ,34.02
2,24.2,36.64,4.22,7.04,0.69,77.09,-4.99,-4.08,292.3,76.12,100510.15,18.33,109.52, ,36.64
3,26.17,38.67,4.2,5.8,0.69,79.32,-4.42,-4.26,291.84,81.21,100650.42,18.33,109.66, ,38.67
4,19.13,24.57,3.84,3.26,0.34,76.94,-1.68,-1.88,293.0,71.05,101712.05,18.49,108.83, ,27.32857142857143
5,19.46,25.64,3.8,3.7,0.38,77.82,-1.52,-1.84,292.48,74.51,100793.89,18.49,108.97, ,27.800000000000004
6,20.14,27.51,3.76,4.63,0.45,76.5,-2.07,-1.58,291.96,75.64,99513.45,18.48,109.11, ,28.77142857142857
7,21.23,30.23,3.83,5.84,0.54,75.39,-4.05,-1.76,292.04,73.29,98810.72,18.48,109.25, ,30.328571428571426
8,22.52,32.6,3.94,6.42,0.6,75.29,-5.45,-2.62,291.32,75.72,97916.16,18.47,109.39, ,32.6
9,24.91,35.7,4.21,6.74,0.64,74.99,-4.6,-3.53,290.6,81.15,97802.4,18.46,109.53, ,35.7
10,26.21,37.21,4.28,5.98,0.65,76.16,-3.4,-3.31,291.69,79.73,100144.3,18.46,109.67, ,37.44285714285714
11,26.57,37.24,4.23,4.62,0.63,78.55,-3.57,-3.9,292.39,79.13,101409.88,18.45,109.81, ,37.957142857142856
12,28.21,38.51,4.36,4.03,0.54,78.55,-4.14,-5.18,292.29,82.58,101609.56,18.45,109.95, ,40.300000000000004
13,20.16,25.77,3.87,3.37,0.34,76.33,-2.32,-1.53,291.47,72.85,98495.02,18.62,108.84, ,28.799999999999997
14,20.63,26.86,3.76,3.66,0.38,75.49,-1.85,-1.82,291.03,76.64,98242.56,18.62,108.98, ,29.47142857142857
15,20.36,26.98,3.77,4.07,0.42,75.98,-1.75,-1.69,291.8,75.08,99539.43,18.61,109.12, ,29.085714285714285
16,21.1,28.4,3.6,4.18,0.47,75.56,-3.56,-1.61,291.55,73.95,98396.73,18.61,109.26, ,30.142857142857142
17,22.4,30.19,3.7,4.41,0.5,76.92,-5.13,-1.47,289.68,79.46,95556.8,18.6,109.4, ,32.0
18,25.03,33.74,3.81,5.04,0.54,74.94,-4.44,-2.42,289.3,83.91,95921.75,18.6,109.54, ,35.75714285714286
19,25.53,34.76,4.03,5.02,0.56,76.25,-3.74,-3.52,291.32,78.84,98919.66,18.59,109.67, ,36.47142857142857
20,27.62,37.58,4.23,4.77,0.57,76.57,-3.83,-4.48,291.82,80.04,100015.33,18.59,109.81, ,39.457142857142856
21,29.58,39.67,4.58,4.49,0.54,77.5,-3.55,-4.84,291.55,83.82,100250.5,18.58,109.95, ,42.25714285714285
22,32.06,43.04,4.75,4.36,0.49,75.57,-3.45,-5.55,291.57,86.5,100894.45,18.57,110.09, ,45.800000000000004
23,20.99,26.3,4.51,3.3,0.3,75.38,-1.85,-0.8,292.5,69.01,100235.98,18.76,108.7, ,29.98571428571428
24,20.69,25.87,4.01,3.13,0.3,75.53,-2.65,0.12,290.3,75.21,96536.38,18.75,108.84, ,29.55714285714286
25,20.49,25.78,3.84,3.13,0.32,75.16,-2.59,-0.54,290.02,77.65,96499.28,18.75,108.98, ,29.271428571428572
26,19.47,24.87,3.79,3.17,0.34,75.65,-2.64,-1.72,291.23,74.7,98127.2,18.75,109.12, ,27.814285714285713
27,21.49,27.53,3.68,3.33,0.38,75.09,-3.31,-2.02,291.01,76.97,98108.45,18.74,109.26, ,30.7
28,22.86,29.37,3.81,3.57,0.41,75.98,-4.53,-1.15,289.97,79.14,96357.38,18.73,109.4, ,32.65714285714286
29,24.3,31.23,3.95,3.88,0.44,76.34,-4.99,-1.87,288.99,83.06,95052.83,18.73,109.54, ,34.714285714285715
30,26.07,33.31,4.18,3.89,0.45,78.09,-4.34,-3.39,288.82,86.5,95236.55,18.72,109.68, ,37.24285714285715
31,30.08,38.36,4.4,4.02,0.46,76.39,-3.47,-4.06,288.94,90.56,96230.48,18.72,109.82, ,42.971428571428575
32,33.18,43.33,4.61,4.46,0.48,73.03,-2.8,-4.25,289.86,90.4,98164.36,18.71,109.96, ,47.4
