数据库：分省年度数据,,,,,
指标：城市人口密度(人/平方公里),,,,,
时间：最近10年,,,,,
地区,2017,2016,2015,2014,2013
北京市,1144,1145,1541,1525,1498
天津市,3276,3639,3492,3328,2843
河北省,2675,2659,2646,2540,2483
山西省,3454,3908,3920,3974,3526
内蒙古自治区,1824,1822,1629,1291,1059
辽宁省,1770,1485,1590,1615,1663
吉林省,2284,2231,3193,3171,3135
黑龙江省,5515,5244,5504,4946,4922
上海市,3814,3816,3809,3826,3809
江苏省,2092,2057,2034,2038,2016
浙江省,2109,2059,1914,1828,1818
安徽省,2535,2487,2458,2416,2359
福建省,2854,2758,2704,2627,2570
江西省,4740,4613,4822,4671,4542
山东省,1554,1502,1452,1426,1361
河南省,4871,5056,5155,5149,4982
湖北省,2746,2475,2430,2448,2505
湖南省,3883,3523,3261,3402,3317
广东省,3253,3193,3060,2999,3066
广西壮族自治区,1950,1891,1823,1684,1543
海南省,2070,2050,2045,2069,1946
重庆市,2017,1953,1904,1872,1847
四川省,2962,2901,1902,3068,2900
贵州省,2302,2182,2396,2393,3406
云南省,3000,2995,2943,2853,2415
西藏自治区,1232,2624,1750,1857,1820
陕西省,4101,4240,4031,5474,5541
甘肃省,4066,4076,4049,3682,3916
青海省,2777,2710,2692,2604,2924
宁夏回族自治区,1388,1343,1336,1295,1253
新疆维吾尔自治区,2436,2456,2557,4280,4361
