数据库：分省月度数据
指标：企业单位数_本月末(个)
"时间：2013-,last5"
地区,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月,2014年7月,2014年6月,2014年5月,2014年4月,2014年3月,2014年2月,2014年1月,2013年12月,2013年11月,2013年10月,2013年9月,2013年8月,2013年7月,2013年6月,2013年5月,2013年4月,2013年3月,2013年2月,2013年1月
北京市,,3090,3089,3090,3091,3089,3089,3089,3088,,3043,3043,3041,3039,3038,3037,3036,3054,3052,3052,3045,,2977,2977,2975,2974,2973,2973,2973,2973,2973,2973,2973,,3073,3073,3071,3071,3071,3071,3071,3071,3071,3069,3064,,3081,3081,3081,3081,3081,3081,3080,3080,3080,3080,3080,,3197,3197,3196,3196,3197,3197,3197,3197,3197,3197,3197,,3306,3306,3306,3306,3305,3305,3305,3305,3305,3305,3305,,3449,3449,3449,3449,3448,3445,3445,3445,3513,3513,3513,,3618,3618,3618,3615,3614,3614,3613,3611,3611,3610,3650,,3551,3551,3551,3550,3549,3548,3548,3548,3548,3605,3597,,3701,3697,3697,3697,3697,3697,3697,3696,3693,3692,3692,
天津市,,5826,5827,5820,5815,5808,5807,5805,5802,,5707,5707,5701,5697,5692,5682,5678,5682,5680,5680,5679,,5222,5222,5218,5211,5208,5199,5192,5188,5186,5186,5186,,4721,4721,4717,4715,4707,4707,4702,4699,4696,4694,4694,,4614,4613,4609,4600,4591,4580,4576,4577,4573,4572,4570,,4292,4292,4287,4286,4283,4280,4276,4274,4274,4272,4274,,5222,5219,5219,5217,5210,5205,5203,5194,5192,5191,5191,,5451,5448,5445,5436,5420,5413,5409,5402,5515,5515,5513,,5334,5334,5334,5319,5308,5302,5294,5285,5278,5274,5489,,5220,5220,5220,5192,5175,5164,5158,5153,5151,5502,5457,,5383,5365,5365,5365,5364,5357,5354,5347,5341,5344,5342,
河北省,,18105,18075,18049,18027,18006,18003,17996,17987,,16410,16410,16357,16312,16255,16245,16209,16175,16166,16154,16144,,14419,14419,14355,14324,14285,14263,14219,14192,14175,14160,14143,,13368,13368,13303,13263,13218,13180,13138,13065,13046,13026,13020,,13186,13081,13029,13001,12966,12932,12903,12880,12871,12863,12859,,14943,14943,14907,14882,14858,14846,14826,14804,14785,14776,14778,,15062,15023,14962,14922,14823,14805,14793,14767,14764,14763,14754,,14826,14788,14756,14729,14707,14694,14672,14658,15211,15210,15295,,14374,14374,14374,14341,14317,14298,14282,14266,14265,14265,14788,,13662,13662,13662,13597,13557,13529,13509,13500,13483,13959,13753,,12649,12478,12478,12478,12431,12404,12388,12378,12365,12360,12360,
山西省,,7658,7654,7641,7632,7623,7623,7620,7616,,6974,6974,6944,6924,6913,6904,6893,6885,6879,6876,6872,,5690,5690,5639,5625,5607,5576,5553,5536,5517,5511,5506,,4805,4805,4770,4761,4755,4746,4743,4730,4726,4726,4726,,4131,4121,4112,4104,4098,4095,4091,4085,4079,4077,4077,,3875,3875,3868,3862,3861,3857,3854,3849,3844,3844,3819,,3581,3577,3574,3570,3565,3564,3558,3550,3548,3548,3548,,3574,3573,3570,3559,3550,3545,3537,3531,3846,3845,3843,,3731,3731,3731,3718,3710,3703,3694,3693,3692,3690,3902,,3720,3720,3720,3713,3701,3690,3678,3670,3668,3965,3896,,3946,3930,3930,3930,3923,3918,3914,3909,3906,3904,3904,
内蒙古自治区,,3722,3681,3664,3647,3624,3614,3604,3594,,3348,3348,3326,3320,3310,3302,3292,3287,3280,3275,3268,,3075,3075,3058,3051,3044,3037,3020,3014,3007,3002,3001,,2907,2907,2895,2892,2885,2883,2877,2875,2869,2866,2863,,2755,2748,2731,2727,2716,2710,2704,2697,2679,2677,2672,,2832,2832,2821,2818,2808,2808,2805,2798,2796,2794,2797,,4336,4328,4326,4318,4304,4301,4299,4296,4292,4289,4289,,4344,4337,4328,4304,4296,4289,4282,4276,4403,4399,4398,,4378,4378,4378,4337,4324,4317,4306,4297,4294,4289,4407,,4353,4353,4353,4321,4305,4298,4279,4265,4254,4402,4306,,4377,4314,4314,4314,4303,4293,4272,4262,4248,4244,4244,
辽宁省,,9029,9017,9014,9010,9003,9000,9000,8996,,8646,8646,8639,8635,8618,8612,8603,8611,8611,8609,8606,,7937,7937,7926,7918,7907,7901,7897,7887,7886,7884,7882,,7748,7748,7714,7702,7686,7679,7676,7668,7665,7664,7663,,7270,7258,7254,7243,7235,7232,7229,7217,7217,7217,7211,,6621,6621,6610,6609,6612,6610,6605,6602,6599,6596,6599,,7160,7160,7155,7154,7143,7143,7141,8008,8007,8006,8006,,10319,10317,10317,10314,10310,10308,10306,10303,12293,12283,12283,,14903,14903,14903,14894,14890,14872,14862,14856,14856,14856,15686,,16659,16659,16659,16649,16643,16635,16632,16631,16618,17281,17049,,17561,17397,17397,17397,17379,17376,17364,17359,17346,17347,17347,
吉林省,,3243,3236,3230,3223,3217,3216,3214,3206,,3234,3234,3229,3222,3218,3216,3214,3212,3211,3211,3207,,3109,3109,3099,3090,3075,3068,3067,3064,3059,3058,3056,,3081,3081,3076,3068,3059,3056,3049,3046,3045,3045,3042,,3831,3831,3818,3814,3810,3809,3806,3801,3798,3795,3794,,5963,5963,5962,5962,5960,5959,5958,5956,5954,5954,5971,,6063,6041,6030,6028,6021,6017,6010,6009,6006,6004,6003,,5708,5699,5681,5646,5634,5611,5603,5597,5687,5682,5682,,5386,5389,5389,5332,5289,5267,5220,5217,5217,5216,5306,,5292,5292,5292,5284,5278,5275,5274,5266,5265,5376,5298,,5353,5314,5314,5314,5294,5294,5293,5289,5287,5286,5286,
黑龙江省,,4542,4534,4530,4522,4514,4511,4511,4507,,4322,4322,4287,4273,4267,4261,4294,4287,4284,4279,4272,,3907,3907,3873,3861,3850,3840,3837,3818,3813,3812,3808,,3583,3583,3543,3526,3517,3516,3514,3503,3501,3501,3501,,3268,3253,3236,3229,3223,3220,3217,3213,3212,3212,3211,,3740,3740,3735,3734,3731,3728,3727,3725,3724,3723,3731,,3981,3976,3971,3968,3963,3960,3954,3948,3948,3947,3946,,4036,4028,4026,4018,4018,4017,4011,4003,4151,4151,4150,,4154,4154,4154,4127,4120,4117,4113,4110,4109,4109,4295,,4220,4220,4220,4173,4161,4155,4148,4143,4138,4388,4239,,4098,3980,3980,3980,3943,3929,3912,3903,3899,3889,3889,
上海市,,9456,9455,9454,9458,9455,9454,9454,9454,,9402,9402,9399,9396,9389,9383,9380,9396,9396,9396,9394,,8879,8879,8876,8871,8864,8863,8861,8861,8859,8859,8857,,8805,8805,8786,8785,8782,8780,8781,8779,8778,8777,8777,,8460,8454,8448,8445,8445,8442,8442,8439,8438,8438,8438,,8130,8130,8121,8116,8118,8115,8112,8112,8111,8111,8111,,8351,8351,8349,8344,8344,8343,8343,8340,8339,8339,8339,,8709,8707,8705,8700,8696,8695,8693,8691,8983,8983,8982,,9179,9179,9179,9174,9171,9168,9168,9166,9166,9159,9457,,9241,9241,9241,9241,9241,9239,9238,9237,9237,9783,9764,,9782,9779,9779,9779,9776,9776,9775,9773,9771,9772,9772,
江苏省,,62771,62653,62562,62480,62381,62354,62317,62300,,57627,57627,57543,57444,57320,57246,57154,57074,57038,56981,56956,,51323,51323,51192,51119,50988,50892,50787,50683,50639,50553,50501,,46324,46324,46189,46066,45941,45850,45743,45613,45561,45516,45490,,45478,45422,45310,45241,45156,45114,45055,45015,45001,44985,44980,,45675,45675,45624,45575,45530,45494,45456,45433,45420,45413,45414,,48137,48099,48061,48015,47975,47955,47932,47913,47907,47902,47900,,47604,47538,47493,47464,47439,47428,47413,47401,48492,48490,48488,,47839,47839,47839,47804,47777,47755,47726,47702,47698,47696,48708,,46975,46975,46975,46937,46906,46872,46816,46790,46776,48789,48070,,46387,46060,46060,46060,46014,45989,45926,45888,45871,45859,45859,
