数据库：分省月度数据
指标：火力发电量_当期值(亿千瓦时)
"时间：2013-,last5"
地区,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月,2014年7月,2014年6月,2014年5月,2014年4月,2014年3月,2014年2月,2014年1月,2013年12月,2013年11月,2013年10月,2013年9月,2013年8月,2013年7月,2013年6月,2013年5月,2013年4月,2013年3月,2013年2月,2013年1月
北京市,24.6,26.5,39.5,41.9,36.5,26.0,25.5,36.1,,,53.1,42.9,29.1,27.3,38.7,33.9,35.0,22.0,24.7,40.6,,,46.3,40.9,28.5,32.0,43.0,38.5,29.2,25.3,23.8,42.6,,,52.6,49.1,25.7,28.7,36.1,34.8,34.5,23.1,24.6,36.2,,,45.7,40.0,28.2,34.1,36.9,36.3,25.5,22.7,23.4,38.2,,,48.1,41.9,26.4,28.0,42.1,40.6,35.3,25.2,22.3,34.6,,,41.5,36.5,22.9,21.7,32.9,35.2,24.9,22.0,18.7,32.3,,,49.1,40.1,21.7,28.8,46.1,38.1,25.2,20.7,20.0,38.6,,,49.8,49.6,27.0,31.8,37.0,33.2,25.0,20.0,15.9,28.2,31.7,,39.4,30.7,18.8,15.5,26.3,34.6,24.1,20.4,20.5,28.0,31.6,,37.5,31.9,18.1,19.1,34.1,27.2,19.0,23.8,20.5,30.8,,
天津市,53.7,60.1,77.6,74.2,67.1,51.0,52.5,64.6,,,68.1,55.4,48.1,58.7,69.7,69.1,58.9,50.2,45.3,57.8,,,72.2,60.0,59.0,63.1,69.9,74.6,58.3,50.6,49.8,62.3,,,81.0,68.9,62.0,58.8,68.8,61.8,60.3,49.8,53.8,52.1,,,80.6,59.6,49.4,54.6,54.8,66.7,58.1,51.3,46.9,55.3,,,68.4,52.1,51.9,56.3,75.0,68.8,61.1,46.1,45.0,49.0,,,52.3,42.1,36.8,53.9,58.9,63.1,52.6,42.9,37.0,52.2,,,61.7,62.8,43.2,51.0,63.6,58.8,43.6,40.3,34.7,49.3,,,61.4,53.5,39.0,44.5,55.0,58.3,55.2,47.4,45.1,46.6,43.3,,59.8,47.6,46.3,51.2,58.9,58.1,50.6,46.0,41.9,50.6,46.8,,58.1,50.8,46.7,52.1,58.4,56.3,50.1,44.3,47.0,51.4,,
河北省,200.4,226.4,266.4,276.0,240.0,208.5,206.8,226.8,,,253.1,202.1,190.7,209.7,267.2,247.8,236.2,208.5,187.8,220.9,,,253.4,207.8,174.0,201.9,232.7,241.4,222.5,207.3,203.1,242.7,,,284.0,242.3,208.7,212.5,251.4,241.2,249.1,200.8,190.1,201.1,,,253.5,225.9,199.7,196.8,233.9,254.5,241.6,222.7,207.3,223.7,,,255.9,227.2,206.5,198.8,256.3,266.5,230.8,207.2,191.4,202.6,,,222.0,197.6,181.2,194.4,220.0,239.3,214.0,192.1,185.2,215.4,,,214.4,203.1,194.2,189.9,209.7,196.8,196.4,185.0,184.3,201.9,,,198.9,187.5,160.8,157.0,201.1,204.7,201.3,191.3,187.8,195.4,160.3,,196.1,165.7,172.9,177.1,206.9,219.4,200.0,198.9,191.5,194.4,166.9,,208.5,182.7,181.8,184.3,213.9,205.7,191.9,212.7,182.0,189.6,,
山西省,280.3,293.3,359.7,353.3,309.6,259.1,250.8,309.7,,,337.7,295.2,283.1,305.4,351.2,344.9,294.2,249.1,233.2,263.8,,,301.5,261.4,262.5,258.3,306.8,297.6,270.5,214.8,229.6,267.1,,,297.7,276.2,245.6,247.1,270.6,278.1,241.9,215.1,219.0,223.1,,,280.8,245.1,218.6,223.7,269.5,279.8,248.7,233.0,226.1,222.0,,,273.4,245.1,216.7,215.1,268.9,260.0,230.3,207.9,200.9,222.2,,,244.4,220.3,212.8,205.3,246.2,252.0,208.5,198.5,195.9,209.9,,,231.4,208.9,190.0,179.0,221.8,210.7,193.1,183.7,178.8,179.4,,,202.2,194.6,170.4,170.6,210.4,209.2,187.4,201.1,189.6,187.2,160.8,,225.7,209.6,197.3,198.3,226.4,228.4,200.9,200.3,207.6,222.1,195.8,,230.9,218.3,205.7,199.0,215.4,198.2,188.8,216.5,214.1,208.5,,
内蒙古自治区,504.7,513.2,572.6,553.9,489.6,437.6,414.6,454.7,,,467.9,435.2,439.2,429.6,484.0,488.4,447.2,404.6,369.0,401.1,,,421.1,384.2,404.6,405.8,452.8,464.8,403.5,375.9,380.4,382.2,,,438.0,407.0,400.2,399.8,452.9,456.9,390.7,370.6,361.8,340.4,,,392.4,374.6,367.7,391.0,425.1,428.2,384.1,348.7,352.5,354.1,,,359.5,362.6,358.7,335.7,394.2,357.9,325.3,357.1,324.7,338.6,,,320.3,294.3,322.3,308.3,341.5,348.1,303.9,292.8,291.5,302.6,,,289.7,277.8,276.1,271.2,304.8,300.6,277.6,270.1,268.2,266.1,,,265.1,278.9,265.4,263.3,295.6,307.0,280.7,263.9,271.7,249.9,219.7,,266.0,255.9,266.9,280.8,293.5,289.8,274.5,259.6,271.7,274.3,244.4,,286.4,268.7,284.8,266.2,267.7,261.4,247.5,244.3,247.0,241.1,,
辽宁省,101.3,102.4,125.0,130.1,112.0,83.7,82.6,110.9,,,127.3,113.1,100.9,107.1,128.7,127.8,115.3,90.7,89.4,116.1,,,136.3,116.0,106.0,112.9,144.5,146.5,127.6,117.9,102.1,120.6,,,153.3,139.6,114.6,106.2,141.0,149.8,122.8,111.5,95.5,108.1,,,144.7,124.0,115.5,125.4,137.9,145.3,112.6,102.2,100.8,119.0,,,119.6,104.0,104.5,117.2,144.6,132.8,117.5,107.5,103.9,111.4,,,135.5,115.1,115.4,117.3,138.1,132.0,118.9,89.6,90.1,118.0,,,128.7,117.2,118.4,124.8,130.9,127.6,108.7,94.5,95.2,108.7,,,123.0,112.1,98.9,120.2,140.0,127.8,106.9,102.1,97.4,103.4,100.3,,123.8,107.0,98.0,108.6,135.5,121.8,113.1,109.2,104.8,114.2,105.6,,121.4,109.3,106.4,110.3,119.0,122.9,105.7,100.8,105.0,111.6,,
吉林省,56.3,50.2,63.9,60.9,55.2,47.4,46.2,58.6,,,69.2,64.0,53.7,41.7,53.4,59.5,47.6,45.5,44.7,55.2,,,76.3,65.2,55.5,48.1,54.4,64.4,56.1,54.7,51.7,61.1,,,74.4,66.0,58.3,52.4,69.0,73.0,58.4,54.4,51.3,57.0,,,75.1,61.8,51.4,52.3,65.5,66.4,54.2,49.5,53.4,60.3,,,67.8,59.3,51.9,42.1,52.5,51.0,45.5,46.7,46.3,60.7,,,72.1,59.0,51.7,38.2,40.3,40.6,38.6,36.5,42.9,57.0,,,63.4,59.3,48.1,38.2,41.6,39.5,35.5,34.2,40.8,53.6,,,63.7,59.1,48.0,36.1,35.6,36.9,33.4,33.1,39.5,53.8,56.1,,64.3,56.2,48.9,47.9,50.2,46.3,45.6,47.5,45.4,56.8,55.4,,62.5,54.4,47.7,41.1,42.3,39.9,41.6,38.9,45.6,54.1,,
黑龙江省,71.8,65.2,77.3,75.8,66.1,66.4,68.4,80.2,,,92.4,86.2,72.6,57.5,67.9,67.4,58.2,58.0,63.2,78.8,,,87.0,81.8,74.4,66.6,76.3,82.9,77.0,72.8,71.3,80.2,,,87.9,80.9,77.0,62.0,77.3,81.4,69.3,73.4,74.6,78.4,,,93.2,82.3,71.5,63.2,68.6,78.4,75.1,73.0,72.6,74.2,,,88.4,77.1,68.7,56.3,61.1,69.3,70.5,70.8,67.8,75.5,,,84.2,74.2,65.9,55.8,57.7,64.8,60.6,57.6,58.3,75.2,,,80.5,77.8,68.1,56.5,64.3,61.9,56.8,53.4,62.7,72.4,,,75.2,73.1,68.1,58.5,64.2,62.6,53.3,53.1,55.1,68.1,64.3,,75.5,69.2,63.3,56.9,61.2,59.1,58.5,54.3,56.1,66.6,61.2,,71.6,65.4,59.5,50.9,53.3,57.7,56.1,55.9,60.4,67.8,,
上海市,63.3,68.0,95.6,107.1,79.6,64.0,68.3,80.9,,,88.7,61.0,58.6,73.5,110.6,102.1,60.2,40.0,39.8,71.0,,,97.8,72.1,64.4,69.8,93.1,86.5,80.1,68.4,68.2,74.4,,,101.5,63.0,46.2,58.3,92.8,62.1,63.5,59.8,57.1,59.0,,,85.4,58.4,51.4,54.3,80.2,65.9,48.5,48.0,56.3,74.1,,,77.2,47.6,42.0,58.9,76.7,74.4,60.7,67.5,64.1,76.2,,,86.3,64.5,49.0,57.0,86.9,87.7,54.8,54.4,58.0,75.2,,,76.9,59.0,53.8,55.3,85.3,77.2,50.4,57.8,59.4,71.0,,,76.8,49.5,41.7,47.6,73.5,66.9,58.8,68.0,64.5,77.0,69.8,,90.4,56.5,36.2,38.9,57.1,60.3,57.7,72.3,70.3,85.6,77.0,,93.6,70.3,59.2,63.3,102.4,94.8,66.1,68.9,67.9,79.1,,
江苏省,390.3,416.4,502.3,499.7,428.9,417.4,361.8,375.9,,,412.3,364.3,354.4,371.9,522.1,490.8,415.3,352.3,292.2,375.8,,,431.2,400.9,356.6,369.5,468.0,458.9,416.0,400.4,392.6,415.7,,,475.3,356.2,333.0,378.1,487.9,369.2,384.7,362.6,339.8,311.8,,,406.0,357.8,333.9,346.1,419.6,403.9,339.0,334.2,352.5,378.0,,,402.3,331.7,326.7,361.8,444.5,435.6,354.4,336.4,344.4,365.3,,,394.4,316.6,295.0,330.4,438.7,465.6,374.0,360.0,368.9,387.4,,,400.2,369.4,338.4,354.0,435.7,408.4,342.2,331.8,365.2,381.5,,,382.5,325.3,298.0,294.0,362.7,347.3,328.9,344.0,337.9,355.6,260.2,,404.6,341.3,305.1,292.3,322.4,355.3,334.2,355.6,360.3,354.4,290.1,,366.9,339.2,307.4,315.9,400.3,389.0,319.8,322.1,328.3,341.6,,
