数据库：分省年度数据,,,,,
指标：人均公园绿地面积(平方米/人),,,,,
时间：最近10年,,,,,
地区,2017,2016,2015,2014,2013
北京市,16.2,16.01,16,15.94,12.72
天津市,14.15,10.59,10.13,9.73,10.97
河北省,14.52,14.31,14.18,14.45,14.05
山西省,11.98,11.86,11.61,11.3,11.18
内蒙古自治区,19.66,19.77,19.28,18.8,16.9
辽宁省,12.07,11.33,11.52,11.61,11.06
吉林省,11.37,13.37,12.51,12.05,11.78
黑龙江省,11.78,11.91,11.98,12.1,12.11
上海市,8.19,7.83,7.62,7.33,7.1
江苏省,14.95,14.79,14.55,14.41,14.01
浙江省,13.32,13.17,13.19,12.9,12.44
安徽省,14.32,14.02,13.37,13.2,12.47
福建省,14.13,13.08,12.98,12.76,12.57
江西省,14.5,14.16,13.96,14.13,14.12
山东省,17.84,17.91,17.36,17.1,16.81
河南省,12,10.43,10.16,9.93,9.58
湖北省,11,10.99,11.01,11.1,10.83
湖南省,9.99,10.57,9.99,9.85,8.99
广东省,18.24,17.87,17.4,16.28,15.94
广西壮族自治区,12.42,11.77,11.6,11.19,11.48
海南省,12.16,12.02,12.96,13.01,12.47
重庆市,17.05,16.86,16.99,16.97,18.04
四川省,12.48,12.47,11.96,11.26,11.21
贵州省,15.25,14.98,12.94,12.5,11.41
云南省,11.5,11.33,10.57,11,10.56
西藏自治区,5.85,7.84,11.65,10.8,9.04
陕西省,12.64,12.3,12.57,12.48,11.77
甘肃省,14.87,13.94,12.23,12.79,11.76
青海省,11.18,10.78,10.48,10.78,9.66
宁夏回族自治区,19.17,18.3,18.11,17.91,17.51
新疆维吾尔自治区,13.23,12.22,11.5,10.74,10.08
