数据库：分省年度数据,,,,,
指标：人均城市道路面积(平方米),,,,,
时间：最近10年,,,,,
地区,2017,2016,2015,2014,2013
北京市,7.44,7.62,7.62,7.44,7.61
天津市,17.41,15.39,16.02,16.71,18.74
河北省,18.88,18.91,18.65,18.49,18.22
山西省,15.92,14.77,13.52,13.34,12.88
内蒙古自治区,23.89,23.45,22.61,21.1,19.69
辽宁省,13.68,13.01,13.43,12.75,12.09
吉林省,14.3,14.98,14.52,14.62,13.61
黑龙江省,13.89,13.71,13.14,13.32,13.15
上海市,4.51,4.37,4.27,4.11,4.11
江苏省,25.62,25.37,24.42,23.89,23.22
浙江省,17.28,17.73,18.12,18.4,17.83
安徽省,22.19,21.82,20.82,20.33,19.61
福建省,17.41,14.41,13.8,13.61,13.4
江西省,17.9,17.33,16.6,15.77,15.26
山东省,25.13,24.65,25.82,25.77,25.34
河南省,13.9,12.97,12.06,11.67,11.57
湖北省,15.74,16.14,16.15,16.57,15.85
湖南省,13.72,14.59,14.27,13.76,13.8
广东省,12.86,13.05,13.6,13.2,13.11
广西壮族自治区,17.56,17.06,16.28,15.75,15.53
海南省,18.22,17.75,17.37,17.97,18.72
重庆市,12.67,12.23,12.05,11.68,11.23
四川省,13.72,13.73,13.63,13.32,13.24
贵州省,12.18,12.11,11.22,10.33,9.58
云南省,12.52,15.76,14.23,17.12,12.29
西藏自治区,14.7,16.82,24.98,14.44,13.19
陕西省,16.32,15.42,15.67,15.38,14.74
甘肃省,16.51,15.42,15.18,15.3,14.02
青海省,14.4,11.04,10.63,11.08,10.9
宁夏回族自治区,21.83,23.11,22.52,23.16,18.81
新疆维吾尔自治区,19.78,18.35,17.69,16.46,15.69
