数据库：分省月度数据
指标：原煤产量_累计值(万吨)
"时间：2013-,last5"
地区,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月,2014年7月,2014年6月,2014年5月,2014年4月,2014年3月,2014年2月,2014年1月,2013年12月,2013年11月,2013年10月,2013年9月,2013年8月,2013年7月,2013年6月,2013年5月,2013年4月,2013年3月,2013年2月,2013年1月
北京市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36.1,36.1,36.1,36.1,35.5,33.5,31.5,27.5,23.5,19.5,13.5,,176.2,170.8,164.3,156.1,141.4,127.9,109.5,89.5,69.6,49.3,29.9,,255.0,241.2,222.7,208.8,190.7,168.7,144.5,118.2,93.3,66.1,40.4,,317.6,289.2,264.5,246.4,222.5,197.5,174.6,149.3,122.7,90.8,50.9,,450.1,424.1,391.0,355.0,323.6,281.6,240.5,198.0,155.0,112.9,68.5,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,3848.8,3466.2,3074.2,2683.6,2312.0,1925.4,1543.2,1166.2,607.6,,4705.6,4331.1,3948.1,3560.1,3156.5,2752.2,2362.6,1968.4,1560.4,1167.4,745.6,,4641.0,4267.2,3899.7,3521.6,3131.6,2771.3,2394.5,1985.4,1582.1,1198.8,779.5,,4974.7,4574.7,4187.2,3800.7,3415.9,3015.8,2603.6,2149.8,1724.8,1296.5,838.2,,5075.2,4662.7,4248.1,3868.7,3482.0,3102.0,2701.8,2278.8,1825.4,1371.6,872.3,,5505.3,5124.2,4725.9,4296.6,3840.4,3363.3,2883.1,2406.9,1933.2,1448.5,940.1,,6010.8,5536.3,5060.0,4601.2,4200.0,3758.5,3261.1,2726.4,2206.1,1677.4,1083.7,,6484.3,5980.7,5433.8,4913.4,4410.7,3886.5,3368.0,2832.2,2305.7,1727.4,1129.8,,7437.1,6782.7,6125.5,5503.7,4954.0,4323.3,3715.9,3084.2,2466.4,1827.4,1176.3,,,,,,,,,,,,,,,,,,,,,,,,,
山西省,112846.5,101439.7,89801.6,78709.4,67838.3,55661.6,44400.0,33316.8,21497.0,,130714.6,119560.7,106920.6,96549.3,85472.3,74779.2,64139.3,52823.8,42231.8,31426.1,19415.4,,119316.2,108974.9,98231.0,87668.6,77544.5,67521.2,57829.9,47892.3,38089.4,28502.4,17369.0,,106306.8,96213.1,86728.8,77185.6,67586.4,57811.5,48817.6,39478.8,30905.2,22285.2,12681.2,,97109.4,88774.8,80245.8,71981.7,63799.7,55549.8,47029.1,38231.6,29729.0,21694.0,13465.9,,89340.0,81094.1,72764.6,65035.3,57343.0,49773.3,42403.2,34582.1,26861.6,19441.0,12472.0,,85398.9,78040.5,70930.4,64184.2,56916.1,49286.4,41717.9,34212.5,26794.6,19495.4,12334.1,,81641.5,73822.0,66318.7,59011.4,52374.7,45723.8,38932.0,32345.2,26051.3,20218.7,12444.5,,94410.3,86149.0,77796.7,69620.5,61578.4,53126.3,44946.6,35927.2,27784.1,20451.7,12831.3,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,99900.7,89831.0,80079.0,70430.6,60691.6,50868.7,40794.7,31237.9,19751.0,,117409.6,107023.7,96971.8,87210.8,77265.6,67786.3,58251.9,48927.8,39158.3,29640.6,18987.2,,103896.1,92993.9,83233.5,73312.0,64903.5,56762.8,49141.6,41405.8,33424.5,25393.6,16777.8,,100091.3,90054.4,80126.7,71268.2,63351.4,55338.3,47344.2,39062.3,30664.3,22143.7,13105.2,,103523.7,94413.2,84539.1,75700.3,67068.6,58464.7,49638.3,40664.1,31434.1,22842.4,14384.7,,92597.9,84247.7,75834.9,67326.1,59095.5,51071.2,44291.7,37260.9,29230.9,21735.9,13787.7,,87857.1,78620.9,72836.4,68066.2,60960.3,53406.4,46191.0,38591.8,30723.8,22412.7,13701.4,,83827.9,75678.2,67462.3,60967.0,54138.8,47360.5,40656.4,33997.6,27477.5,20582.4,13268.0,,90580.3,83161.9,75707.5,67881.0,59869.8,52674.2,45250.2,37702.7,30136.1,22566.7,14741.6,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,2366.1,2142.3,1908.4,1678.8,1429.1,1166.0,918.8,694.7,486.9,,3158.1,2902.8,2643.4,2398.7,2123.2,1855.2,1587.0,1311.4,1052.3,800.6,505.5,,3087.7,2826.9,2532.0,2286.8,2022.2,1749.7,1498.8,1245.5,992.1,748.6,479.4,,3091.5,2840.1,2568.3,2332.6,2067.1,1799.8,1533.7,1279.7,1017.6,752.6,465.1,,3292.0,3007.3,2708.3,2444.3,2186.5,1896.8,1623.5,1338.7,1072.0,814.6,518.8,,3375.9,3037.9,2727.4,2455.0,2181.5,1893.7,1601.1,1316.6,1040.8,775.3,505.0,,3611.0,3387.6,3119.3,2844.1,2530.6,2221.4,1903.8,1586.6,1283.8,964.7,636.0,,4082.1,3755.4,3408.6,3098.9,2772.3,2435.6,2093.4,1754.4,1419.5,1047.7,682.5,,4635.4,4294.2,3903.9,3529.6,3140.0,2735.9,2339.9,1939.5,1537.1,1140.0,741.3,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,747.2,663.8,587.6,521.1,454.5,383.2,306.3,221.4,130.1,,948.0,874.5,793.8,713.5,612.4,493.6,416.7,336.8,262.1,193.8,149.7,,875.3,782.8,682.2,585.7,509.2,447.3,379.4,324.0,256.0,178.3,128.3,,1001.6,930.4,852.1,766.0,684.9,599.6,511.8,420.5,323.8,225.3,118.4,,1217.0,1118.5,1023.5,935.4,842.0,748.6,658.6,536.6,424.4,305.2,309.2,,1517.7,1389.9,1253.8,1150.7,1027.1,913.1,788.6,658.1,522.6,387.9,253.1,,1635.3,1493.2,1347.6,1247.7,1100.4,959.8,813.9,673.2,532.9,394.2,280.5,,1643.1,1506.5,1343.7,1202.5,1048.8,893.9,762.0,625.4,501.3,410.1,344.9,,2622.5,2392.6,2160.3,1955.6,1747.2,1532.3,1319.3,1103.6,889.9,650.1,412.4,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,5651.8,5091.0,4549.5,4030.8,3459.8,2816.2,2241.7,1668.7,1002.3,,6951.8,6242.5,5452.1,4874.2,4215.1,3693.1,3180.6,2600.1,2072.2,1542.4,973.6,,5974.9,5433.9,4879.6,4316.2,3790.2,3252.4,2798.1,2328.3,1861.2,1388.1,943.4,,5206.3,4701.1,4191.6,3699.9,3181.9,2690.9,2230.9,1791.2,1414.6,951.4,518.4,,5195.0,4670.6,4184.7,3704.2,3301.0,2903.9,2455.3,2017.9,1581.9,1162.5,853.9,,5791.6,5231.9,4557.9,3973.1,3465.8,3037.1,2609.0,2143.9,1682.0,1241.2,833.2,,5440.4,4978.7,4477.3,3904.3,3392.0,2948.6,2557.1,2106.9,1704.8,1285.0,859.0,,5623.2,5116.9,4610.2,4099.8,3647.9,3195.1,2726.9,2253.0,1813.0,1333.5,846.5,,6321.9,5739.2,5163.0,4616.5,4077.5,3608.3,3065.3,2536.7,1998.3,1456.1,920.1,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,696.2,622.4,558.5,493.3,424.2,347.4,276.7,208.7,137.5,,964.1,907.4,833.1,754.4,672.7,588.3,502.0,417.3,326.6,241.5,157.6,,934.3,862.2,780.2,707.8,631.3,552.3,470.3,392.1,311.4,231.6,150.6,,1022.3,956.9,876.3,791.1,707.9,623.7,534.5,444.8,352.0,258.8,168.1,,1102.7,1029.9,934.1,837.4,742.2,651.0,559.9,468.9,383.2,293.7,201.4,,1245.8,1160.1,1058.8,956.4,850.8,747.0,639.1,534.4,420.2,325.6,213.5,,1278.5,1188.1,1079.1,972.7,862.7,750.8,638.3,529.3,417.3,308.8,199.1,,1367.9,1261.0,1148.4,1039.6,938.7,829.4,721.0,610.7,498.4,381.8,248.7,,1918.9,1769.5,1611.5,1453.1,1284.2,1115.4,955.6,805.7,648.4,484.7,316.3,,,,,,,,,,,,,,,,,,,,,,,,,
